"cruiseID","station","time","lat","lon","temp","sal","depth","ODO_molL","ODO_perc","turb","chla","sigma0"
"V2108","SV1","15-Aug-2021 02:44:17",75.74915,-83.24245,-0.249399820963542,32.4386660257975,7.75,361.939239501953,98.5391260782878,1.36759440104167,5.91819254557292,26.0543915524458
"V2108","SV1","15-Aug-2021 02:44:17",75.74915,-83.24245,-0.297950744628906,32.4294633865356,8.25,363.033645629883,98.7030353546143,1.35174560546875,5.55764770507812,26.0490419217435
"V2108","SV1","15-Aug-2021 02:44:18",75.74915,-83.24245,-0.476481119791667,32.4437433878581,8.75,364.068664550781,98.5248692830404,1.15388997395833,2.23811848958333,26.0679479628448
"V2108","SV1","15-Aug-2021 02:44:18",75.74915,-83.24245,-0.436838785807292,32.4799817403158,9.25,363.982238769531,98.6305465698242,1.28922526041667,2.18290201822917,26.0956229719943
"V2108","SV1","15-Aug-2021 02:44:18",75.74915,-83.24245,-0.424690246582031,32.4833364486694,9.75,359.643653869629,97.4887237548828,1.15679931640625,2.72428894042969,26.0978365093424
"V2108","SV1","15-Aug-2021 02:44:19",75.74915,-83.24245,-0.375587463378906,32.4761962890625,10.25,359.667961120605,97.618106842041,1.21038818359375,3.42710876464844,26.0900427831059
"V2108","SV1","15-Aug-2021 02:44:19",75.74915,-83.24245,-0.410634358723958,32.4857597351074,10.75,354.679595947266,96.1807581583659,1.380615234375,3.32259114583333,26.0992155441672
"V2108","SV1","15-Aug-2021 02:44:20",75.74915,-83.24245,-0.424263000488281,32.4541902542114,11.25,354.763145446777,96.1474094390869,1.427978515625,3.34129333496094,26.0742712173139
"V2108","SV1","15-Aug-2021 02:44:20",75.74915,-83.24245,-0.531829833984375,32.4772402445475,11.75,353.88139851888,95.6488749186198,1.35880533854167,2.68218994140625,26.0972108316719
"V2108","SV1","15-Aug-2021 02:44:21",75.74915,-83.24245,-0.533485412597656,32.478120803833,12.25,353.469787597656,95.5339794158936,1.2689208984375,2.65348815917969,26.0979865723132
"V2108","SV1","15-Aug-2021 02:44:21",75.74915,-83.24245,-0.5286865234375,32.4748471577962,12.75,352.428822835286,95.2627436319987,1.52815755208333,2.980712890625,26.0951506132897
"V2108","SV1","15-Aug-2021 02:44:21",75.74915,-83.24245,-0.563018798828125,32.4845495223999,13.25,350.302192687988,94.6074123382568,1.34295654296875,2.82286071777344,26.1043379117489
"V2108","SV1","15-Aug-2021 02:44:22",75.74915,-83.24245,-0.574910481770833,32.4902496337891,13.75,350.293782552083,94.5788192749023,1.15087890625,2.6708984375,26.109407034146
"V2108","SV1","15-Aug-2021 02:44:22",75.74915,-83.24245,-0.576179504394531,32.4925003051758,14.25,348.30004119873,94.03879737854,1.3055419921875,2.4052734375,26.1112743947219
"V2108","SV1","15-Aug-2021 02:44:23",75.74915,-83.24245,-0.57684326171875,32.494779586792,14.75,348.30061340332,94.0387706756592,1.2083740234375,2.4139404296875,26.1131413639321
"V2108","SV1","15-Aug-2021 02:44:23",75.74915,-83.24245,-0.578521728515625,32.5062370300293,15.25,347.082855224609,93.713264465332,1.306640625,2.56217447916667,26.1224664850472
"V2108","SV1","15-Aug-2021 02:44:24",75.74915,-83.24245,-0.577217102050781,32.5106925964355,15.75,347.077644348145,93.7180290222168,1.390869140625,2.52957153320312,26.1260160516708
"V2108","SV1","15-Aug-2021 02:44:24",75.74915,-83.24245,-0.5733642578125,32.5116119384766,16.25,345.708943684896,93.358652750651,1.34847005208333,2.37453206380208,26.1266080365965
"V2108","SV1","15-Aug-2021 02:44:25",75.74915,-83.24245,-0.574180603027344,32.5122213363647,16.75,345.027229309082,93.1729221343994,1.39495849609375,2.09066772460938,26.1271312483766
"V2108","SV1","15-Aug-2021 02:44:25",75.74915,-83.24245,-0.573923746744792,32.5180740356445,17.25,345.010467529297,93.1728210449219,1.40877278645833,2.52862548828125,26.1318507731792
"V2108","SV1","15-Aug-2021 02:44:25",75.74915,-83.24245,-0.56964111328125,32.5120862325033,17.75,345.013173421224,93.1803487141927,1.46419270833333,2.56231689453125,26.1268428356736
"V2108","SV1","15-Aug-2021 02:44:26",75.74915,-83.24245,-0.560569763183594,32.524827003479,18.25,344.988456726074,93.2045192718506,1.2098388671875,2.12271118164062,26.1367850258532
"V2108","SV1","15-Aug-2021 02:44:26",75.74915,-83.24245,-0.561696370442708,32.5267461140951,18.75,343.241811116536,92.7310689290365,1.02091471354167,2.12762451171875,26.138379124633
"V2108","SV1","15-Aug-2021 02:44:27",75.74915,-83.24245,-0.570449829101562,32.5294809341431,19.25,343.240669250488,92.7108497619629,0.99688720703125,2.15156555175781,26.1409307109755
"V2108","SV1","15-Aug-2021 02:44:27",75.74915,-83.24245,-0.571187337239583,32.530948638916,19.75,343.64897664388,92.8202540079753,1.00398763020833,2.37424723307292,26.1421446751606
"V2108","SV1","15-Aug-2021 02:44:28",75.74915,-83.24245,-0.571334838867188,32.5326824188232,20.25,343.853637695312,92.8762874603271,0.91656494140625,2.19137573242188,26.143534840186
"V2108","SV1","15-Aug-2021 02:44:28",75.74915,-83.24245,-0.570393880208333,32.5342674255371,20.75,343.497873942057,92.7835413614909,1.09090169270833,2.40958658854167,26.1447464170376
"V2108","SV1","15-Aug-2021 02:44:28",75.74915,-83.24245,-0.569488525390625,32.5361760457357,21.25,342.783203125,92.5939636230469,0.912190755208333,2.38983154296875,26.1462209308086
"V2108","SV1","15-Aug-2021 02:44:29",75.74915,-83.24245,-0.568623860677083,32.537602742513,21.75,342.78520711263,92.5975723266602,0.919189453125,2.11783854166667,26.1473074856112
"V2108","SV1","15-Aug-2021 02:44:29",75.74915,-83.24245,-0.582224527994792,32.540283203125,22.25,341.664133707682,92.2629140218099,0.96923828125,2.28570556640625,26.1499717281054
"V2108","SV1","15-Aug-2021 02:44:30",75.74915,-83.24245,-0.589599609375,32.539587020874,22.75,341.111557006836,92.0950870513916,0.97894287109375,2.13011169433594,26.1496627583019
"V2108","SV1","15-Aug-2021 02:44:30",75.74915,-83.24245,-0.612355550130208,32.5408096313477,23.25,341.402130126953,92.1182428995768,1.05777994791667,1.62418619791667,26.151497796046
